line_key,order_id,product_id,line_number,quantity,unit_price,unit_cost,discount_amount,line_total
1,ORD00000001,PROD00000653,1,5,49.91,19.96,,
2,ORD00000001,PROD00002184,2,10,36.66,14.66,1.14,355.19999999999993
3,ORD00000002,PROD00004751,1,1,16.51,6.6,,
4,ORD00000002,PROD00000499,2,1,13.03,5.21,0.54,12.489999999999998
5,ORD00000002,PROD00003115,3,9,21.45,8.58,,
6,ORD00000003,PROD00004454,1,4,24.28,9.71,1.03,93.0
7,ORD00000004,PROD00002605,1,9,13.7,5.48,,
8,ORD00000004,PROD00004622,2,7,49.86,19.94,,
9,ORD00000004,PROD00001034,3,8,40.66,16.26,,
10,ORD00000005,PROD00004278,1,9,22.31,8.92,1.51,187.2
11,ORD00000005,PROD00001851,2,7,22.85,9.14,,
12,ORD00000005,PROD00004060,3,3,22.59,9.04,1.78,62.42999999999999
13,ORD00000006,PROD00000389,1,8,42.05,16.82,2.09,319.67999999999995
14,ORD00000006,PROD00003130,2,5,36.64,14.66,0.14,182.5
15,ORD00000007,PROD00002264,1,5,18.99,7.6,,
16,ORD00000007,PROD00003737,2,5,40.3,16.12,0.51,198.95
17,ORD00000008,PROD00003834,1,4,26.77,10.71,,
18,ORD00000009,PROD00003731,1,5,43.19,17.28,4.11,195.39999999999998
19,ORD00000009,PROD00002566,2,5,14.52,5.81,,
20,ORD00000010,PROD00001113,1,5,16.07,6.43,1.27,74.0
21,ORD00000010,PROD00003552,2,10,34.72,13.89,,
22,ORD00000010,PROD00002485,3,5,26.81,10.72,,
23,ORD00000010,PROD00004547,4,4,45.34,18.14,3.52,167.28
24,ORD00000011,PROD00002740,1,1,36.23,14.49,,
25,ORD00000011,PROD00004826,2,3,12.29,4.92,0.08,36.629999999999995
26,ORD00000011,PROD00001121,3,1,15.01,6.0,1.91,13.1
27,ORD00000011,PROD00000195,4,9,36.9,14.76,5.35,283.95
28,ORD00000012,PROD00000439,1,5,13.56,5.42,1.79,58.849999999999994
29,ORD00000013,PROD00000863,1,3,44.3,17.72,5.32,116.94
30,ORD00000014,PROD00004410,1,7,17.75,7.1,0.31,122.08000000000001
31,ORD00000014,PROD00004485,2,9,16.12,6.45,0.16,143.64000000000001
32,ORD00000014,PROD00001149,3,10,40.48,16.19,3.84,366.4
33,ORD00000014,PROD00000453,4,6,17.59,7.04,,
34,ORD00000014,PROD00003458,5,3,44.76,17.9,6.14,115.85999999999999
35,ORD00000015,PROD00002661,1,3,16.96,6.78,1.61,46.050000000000004
36,ORD00000016,PROD00001611,1,9,14.67,5.87,0.85,124.38
37,ORD00000016,PROD00003981,2,10,23.54,9.42,1.41,221.29999999999998
38,ORD00000016,PROD00000448,3,2,13.02,5.21,0.7,24.64
39,ORD00000016,PROD00002932,4,3,10.61,4.24,,
40,ORD00000017,PROD00002999,1,9,34.56,13.82,3.09,283.23
41,ORD00000017,PROD00001038,2,1,40.6,16.24,5.36,35.24
42,ORD00000017,PROD00002560,3,8,27.67,11.07,1.34,210.64000000000001
43,ORD00000017,PROD00003280,4,9,11.4,4.56,,
44,ORD00000018,PROD00000918,1,3,18.21,7.28,1.83,49.14000000000001
45,ORD00000018,PROD00000750,2,3,32.4,12.96,1.09,93.92999999999999
46,ORD00000018,PROD00003502,3,7,16.88,6.75,,
47,ORD00000018,PROD00004200,4,10,10.67,4.27,,
48,ORD00000019,PROD00001521,1,2,19.13,7.65,0.61,37.04
49,ORD00000019,PROD00002039,2,5,34.05,13.62,,
50,ORD00000020,PROD00000188,1,9,24.48,9.79,1.92,203.04000000000002
51,ORD00000020,PROD00004489,2,4,47.01,18.8,1.79,180.88
52,ORD00000020,PROD00002305,3,6,43.89,17.56,3.74,240.89999999999998
53,ORD00000021,PROD00003553,1,4,30.98,12.39,,
54,ORD00000021,PROD00002248,2,9,26.09,10.44,1.3,223.10999999999999
55,ORD00000021,PROD00001392,3,9,30.16,12.06,,
56,ORD00000021,PROD00004702,4,7,42.22,16.89,1.73,283.43
57,ORD00000022,PROD00002741,1,8,12.57,5.03,,
58,ORD00000022,PROD00003630,2,9,32.74,13.1,2.95,268.11
59,ORD00000022,PROD00003711,3,8,44.21,17.68,6.03,305.44
60,ORD00000022,PROD00003032,4,1,14.0,5.6,1.21,12.79
61,ORD00000023,PROD00002027,1,9,24.49,9.8,,
62,ORD00000023,PROD00001555,2,1,30.59,12.24,3.12,27.47
63,ORD00000023,PROD00000239,3,9,46.53,18.61,2.94,392.31000000000006
64,ORD00000024,PROD00000584,1,7,14.57,5.83,,
65,ORD00000024,PROD00000177,2,6,40.02,16.01,0.2,238.92000000000002
66,ORD00000024,PROD00000665,3,9,30.55,12.22,2.66,251.01
67,ORD00000025,PROD00003965,1,7,17.46,6.98,,
68,ORD00000025,PROD00000084,2,2,19.95,7.98,,
69,ORD00000025,PROD00003986,3,9,45.28,18.11,1.16,397.08000000000004
70,ORD00000026,PROD00002722,1,3,14.6,5.84,,
71,ORD00000026,PROD00000911,2,5,17.33,6.93,,
72,ORD00000026,PROD00002015,3,4,38.99,15.6,3.03,143.84
73,ORD00000026,PROD00000635,4,7,42.39,16.96,,
74,ORD00000027,PROD00004784,1,4,21.95,8.78,,
75,ORD00000027,PROD00000784,2,6,19.27,7.71,2.48,100.74
76,ORD00000027,PROD00000913,3,8,31.38,12.55,2.71,229.35999999999999
77,ORD00000027,PROD00000243,4,7,38.52,15.41,1.09,262.01
78,ORD00000027,PROD00002995,5,3,17.19,6.88,0.86,48.99000000000001
79,ORD00000028,PROD00004897,1,6,33.98,13.59,,
80,ORD00000028,PROD00001563,2,9,10.8,4.32,1.58,82.98
