order_key,order_id,customer_id,order_timestamp,order_status,order_channel,store_id,subtotal,discount_amount,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,shipping_address_line1,shipping_address_line2,shipping_city,shipping_postal_code,shipping_country,promo_code,discount_percent,first_purchase_flag,gift_order_flag
1,ORD00000001,CUST00012812,2024-11-16 09:43:31,Completed,Online,,27.03,0.0,3.24,2.16,32.43000000000001,PayPal,Standard,,,,,,,0,0,0
2,ORD00000002,CUST00043987,2021-12-22 01:48:13,Completed,Online,,52.37,0.0,0.0,4.19,56.559999999999995,Credit Card,Standard,,,,,,PARTNERSHIP,0,0,0
3,ORD00000003,CUST00013402,2024-12-04 22:06:44,Completed,Online,,149.06,0.0,7.89,11.92,168.86999999999998,Debit Card,Express,,,,,,,0,0,0
4,ORD00000004,CUST00030876,2024-10-12 13:54:50,Completed,Online,,197.65,0.0,10.46,15.81,223.92000000000002,PayPal,Express,,,,,,,0,0,0
5,ORD00000005,CUST00049565,2022-09-09 11:38:25,Completed,Online,,46.45,0.0,0.0,3.72,50.17,PayPal,Standard,,,,,,BOOKFLUENCERSHIP,0,0,0
6,ORD00000006,CUST00031681,2023-03-27 17:37:46,Completed,Online,,56.01,0.0,13.85,4.48,74.34,PayPal,Standard,,,,,,,0,0,0
7,ORD00000007,CUST00024871,2023-09-22 08:09:52,Completed,Online,,164.0,0.0,10.21,13.12,187.33,PayPal,Standard,,,,,,,0,0,0
8,ORD00000008,CUST00042604,2023-06-16 22:19:33,Completed,Online,,34.74,0.0,2.78,2.78,40.300000000000004,Debit Card,Standard,,,,,,,0,0,0
9,ORD00000009,CUST00045994,2024-01-23 20:04:13,Completed,Online  ,,190.16,0.0,5.67,15.21,211.04,Credit Card,Express,,,,,,,0,0,0
10,ORD00000010,CUST00033533,2024-03-16 15:10:22,Completed,Online,,44.93,0.0,11.78,3.59,60.3,Credit Card  ,Express,,,,,,,0,0,0
11,ORD00000011,CUST00034629,2021-12-20 02:46:35,Completed,Online,,110.25,0.0,0.0,8.82,119.07,PayPal,Standard,,,,,,BOOKFLUENCERSHIP,0,0,0
12,ORD00000012,CUST00041111,2023-11-02 19:42:46,Completed,Online,,35.03,0.0,6.1,2.8,43.93,Debit Card,EXPRESS,,,,,,,0,0,0
13,ORD00000013,CUST00018629,2024-01-19 22:35:35,Completed,Online,,94.03,0.0,14.33,7.52,115.88,Credit Card,Express,,,,,,,0,0,0
14,ORD00000014,CUST00042067,2024-11-18 15:00:12,  Completed,Online,,150.99,22.65,2.09,10.27,140.70000000000002,PayPal,Express,,,,,,bookfluencer15,15,0,0
15,ORD00000015,CUST00007387,2023-11-28 11:56:42,Completed,Online  ,,120.58,18.09,1.01,8.2,111.7,Debit Card,Express,,,,,,BOOKFLUENCER15,15,0,0
16,ORD00000016,CUST00018995,2024-02-28 16:58:56,Completed,Online,,152.24,0.0,0.0,12.18,164.42000000000002,PayPal,Standard,,,,,,HOLIDAYSHIP,0,0,0
