page_view_key,session_id,page_view_timestamp,page_url,page_title,page_type,product_id,previous_page_url,time_on_page_seconds,scroll_depth_percent,exit_page_flag,entry_page_flag
1,SESS00139611,2022-04-07 01:14:49,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,133,88,0,1
2,SESS00139611,2022-04-07 01:15:20,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/home,55,96,0,0
3,SESS00139611,2022-04-07 01:15:27,https://bookhoarder.com/product/PROD00004864,The Book Hoarder - Product,Product,PROD00004864,https://bookhoarder.com/category,412,64,0,0
4,SESS00139611,2022-04-07 01:18:22,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/product/PROD00004864,118,78,0,0
5,SESS00139611,2022-04-07 01:22:01,https://bookhoarder.com/product/PROD00003499,THE BOOK HOARDER - PRODUCT,Product,PROD00003499,https://bookhoarder.com/cart,28,91,0,0
6,SESS00139611,2022-04-07 01:19:19,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/product/PROD00003499,31,94,0,0
7,SESS00139611,2022-04-07 01:20:43,https://bookhoarder.com/product/PROD00003281,The Book Hoarder - Product,Product,PROD00003281,https://bookhoarder.com/cart,126,72,0,0
8,SESS00139611,2022-04-07 01:19:08,https://bookhoarder.com/product/PROD00002817,the book hoarder - product,Product,PROD00002817,https://bookhoarder.com/product/PROD00003281,144,93,0,0
9,SESS00139611,2022-04-07 01:25:45,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/product/PROD00002817,315,75,0,0
10,SESS00139611,2022-04-07 01:20:58,https://bookhoarder.com/product/PROD00004834,The Book Hoarder - Product,Product,PROD00004834,https://bookhoarder.com/category,321,100,1,0
11,SESS00151264,2023-03-13 22:29:34,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,,125,88,0,1
12,SESS00151264,2023-03-13 22:30:23,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/category,102,56,0,0
13,SESS00151264,2023-03-13 22:32:48,https://bookhoarder.com/home,The Book Hoarder - Home,Home  ,,https://bookhoarder.com/cart,122,46,0,0
14,SESS00151264,2023-03-13 22:32:49,https://bookhoarder.com/payment-failed,The Book Hoarder - Payment Failed  ,Payment Failed,,https://bookhoarder.com/home,136,52,1,0
15,SESS00044820,2021-07-08 21:13:28,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,,52,66,0,1
16,SESS00044820,2021-07-08 21:15:21,https://bookhoarder.com/product/PROD00002813,  The Book Hoarder - Product,Product,PROD00002813,https://bookhoarder.com/category,36,71,1,0
17,SESS00124584,2021-09-23 07:58:15,https://bookhoarder.com/category,The Book Hoarder - Category,Category  ,,,208,91,0,1
18,SESS00124584,2021-09-23 07:59:34,https://bookhoarder.com/product/PROD00003988,The Book Hoarder - Product,Product,PROD00003988,https://bookhoarder.com/category,264,84,0,0
19,SESS00124584,2021-09-23 08:00:19,  https://bookhoarder.com/category,The Book Hoarder - Category,Category,,  https://bookhoarder.com/product/PROD00003988,261,75,0,0
20,SESS00124584,2021-09-23 08:02:33,https://bookhoarder.com/product/PROD00002278,The Book Hoarder - Product,Product,PROD00002278,https://bookhoarder.com/category,142,74,0,0
21,SESS00124584,2021-09-23 08:04:39,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/product/PROD00002278,151,71,0,0
22,SESS00124584,2021-09-23 08:02:20,https://bookhoarder.com/product/PROD00000787,The Book Hoarder - Product,Product,PROD00000787,https://bookhoarder.com/home,249,73,0,0
23,SESS00124584,2021-09-23 08:05:03,https://bookhoarder.com/product/PROD00004557,The Book Hoarder - Product,Product,PROD00004557,https://bookhoarder.com/product/PROD00000787,276,93,0,0
24,SESS00124584,2021-09-23 08:10:23,https://bookhoarder.com/cart  ,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/product/PROD00004557,163,72,0,0
25,SESS00124584,2021-09-23 08:00:47,https://bookhoarder.com/product/PROD00000586,The Book Hoarder - Product,Product  ,PROD00000586,https://bookhoarder.com/cart,339,77,1,0
26,SESS00165796,2022-11-09 14:44:15,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,342,74,0,1
27,SESS00165796,2022-11-09 14:45:31,https://bookhoarder.com/cart,The Book Hoarder - Cart  ,Cart,,https://bookhoarder.com/home  ,573,81,0,0
28,SESS00165796,2022-11-09 14:45:47,https://bookhoarder.com/product/PROD00002970,The Book Hoarder - Product,Product,PROD00002970,https://bookhoarder.com/cart,313,72,0,0
29,SESS00165796,2022-11-09 14:47:30,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/product/PROD00002970,410,89,0,0
30,SESS00165796,2022-11-09 14:51:55,https://bookhoarder.com/product/PROD00001193,The Book Hoarder - Product,Product,PROD00001193,https://bookhoarder.com/cart,193,97,0,0
31,SESS00165796,2022-11-09 14:48:15,https://bookhoarder.com/product/PROD00000526,The Book Hoarder - Product,Product,PROD00000526,https://bookhoarder.com/product/PROD00001193,175,70,0,0
32,SESS00165796,2022-11-09 14:49:21,https://bookhoarder.com/home,the book hoarder - home,Home,,https://bookhoarder.com/product/PROD00000526,330,85,0,0
33,SESS00165796,2022-11-09 14:48:48,https://bookhoarder.com/cart,the book hoarder - cart,Cart,,https://bookhoarder.com/home,28,97,0,0
34,SESS00165796,2022-11-09 14:47:03,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/cart,508,98,0,0
35,SESS00165796,2022-11-09 14:55:48,https://bookhoarder.com/payment-failed,The Book Hoarder - Payment Failed,Payment Failed,,https://bookhoarder.com/cart,32,71,1,0
36,SESS00158224,2024-08-16 03:33:45,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,,74,92,0,1
37,SESS00158224,2024-08-16 03:35:18,https://bookhoarder.com/cart  ,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/category,44,31,0,0
38,SESS00158224,2024-08-16 03:34:17,https://bookhoarder.com/product/PROD00002302,The Book Hoarder - Product,Product,PROD00002302,https://bookhoarder.com/cart,143,31,0,0
39,SESS00158224,2024-08-16 03:37:39,https://bookhoarder.com/cart  ,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/product/PROD00002302  ,166,62,1,0
40,SESS00125981,2024-11-01 05:29:10,https://bookhoarder.com/category,The Book Hoarder - Category  ,category,,,86,90,0,1
41,SESS00125981,2024-11-01 05:29:46,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,142,72,0,0
42,SESS00125981,2024-11-01 05:30:44,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,155,51,0,0
43,SESS00125981,2024-11-01 05:32:04,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,74,91,0,0
44,SESS00125981,2024-11-01 05:34:22,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,30,68,0,0
45,SESS00125981,2024-11-01 05:33:30,https://bookhoarder.com/category,The Book Hoarder - Category,CATEGORY,,https://bookhoarder.com/category,134,63,0,0
46,SESS00125981,2024-11-01 05:38:10,https://bookhoarder.com/product/PROD00002742,The Book Hoarder - Product,Product,PROD00002742,https://bookhoarder.com/category,206,74,0,0
47,SESS00125981,2024-11-01 05:37:41,  https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/product/PROD00002742,46,65,0,0
48,SESS00125981,2024-11-01 05:41:42,https://bookhoarder.com/cart,The Book Hoarder - Cart,cart,,https://bookhoarder.com/cart,57,83,0,0
49,SESS00125981,2024-11-01 05:39:13,https://bookhoarder.com/product/PROD00002966,The Book Hoarder - Product,Product,PROD00002966,https://bookhoarder.com/cart,191,58,1,0
50,SESS00125511,2023-10-13 01:51:31,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,186,46,0,1
51,SESS00125511,2023-10-13 01:52:39,https://bookhoarder.com/category,the book hoarder - category,CATEGORY,,https://bookhoarder.com/home,18,91,0,0
52,SESS00125511,2023-10-13 01:53:15,https://bookhoarder.com/product/PROD00004289,The Book Hoarder - Product,  Product,PROD00004289,https://bookhoarder.com/category,48,71,0,0
