product_key,product_id,isbn,title,author,publisher,publication_date,product_type,genre,sub_genre,language,page_count,duration_minutes,price,cost,in_stock,stock_quantity,bestseller_flag,new_release_flag,effective_date,expiry_date
1,PROD00000001,  9780765326362,Words of Radiance,Brandon Sanderson,HarperCollins,2014-12-11,Audiobook,Fantasy,Urban Fantasy,English,,1811,29.47,5.04,1,143,1,0,2015-07-22,
2,PROD00000002,9780575102484,The Way of Kings Part 2,brandon sanderson,Macmillan,2010-03-12,Physical,Fantasy,Dark Fantasy,Spanish,530,,29.53,13.88,1,248,1,0,2013-03-13,
3,PROD00000003,9780575093324,Words of Radiance Part 2,Brandon Sanderson,HarperCollins,2014-09-05,E-book,FANTASY,Dark Fantasy,French,564,,17.03,4.41,1,423,1,0,2016-10-20,
4,PROD00000004,,A Court of Mist and Fury,Sarah J. Maas  ,HarperCollins,2016-12-16,Physical,Fantasy,  Urban Fantasy,German  ,626,,21.37,5.1,1,137,1,0,2018-02-05,
5,PROD00000005,9781632150783,Saga: Book One,Brian K. Vaughan,HarperCollins,2014-02-18,Physical,Fiction,Literary Fiction,English  ,504,,16.56,7.34,1,30,1,0,2015-08-07,
6,PROD00000006,,Neverseen,Shannon Messenger,Simon & Schuster,2015-08-13,Physical,Fantasy,  Epic Fantasy,French,672,,32.6,11.92,1,478,1,0,2016-11-07,
7,PROD00000007,9780765326379,Oathbringer,Brandon Sanderson,Simon & Schuster,,Physical,  Fantasy,,,1243,,45.47,17.74,1,274,1,0,2019-03-13,2018-10-24
8,PROD00000007,9780765326379,Oathbringer,Brandon Sanderson,Simon & Schuster,2017-08-03,Physical,Fantasy,,Spanish,  1243,,41.46,16.18,1,127,1,0,2019-02-28,2019-12-14
9,PROD00000007,9780765326379  ,Oathbringer,BRANDON SANDERSON,Simon & Schuster,2017-08-03,Physical,Fantasy,Urban Fantasy,Spanish,1243,,38.1,14.86,1,231,1,0,2019-12-14,2018-10-17
10,PROD00000007,9780765326379,Oathbringer,Brandon Sanderson,  Simon & Schuster,2017-08-03,Physical,Fantasy,Urban Fantasy,Spanish,1243,,35.24,13.75,1,263,1,0,2019-09-03,
11,PROD00000008,9780545010221,Harry Potter and the Deathly Hallows  ,J.K. Rowling,macmillan,2007-06-11,Audiobook,Fantasy,Urban Fantasy,French,,1265,10.89,7.87,1,451,1,0,2011-06-12,
12,PROD00000009,9780756404079,The Name of the Wind,Patrick Rothfuss,HarperCollins,2007-11-26,Audiobook,Fantasy,Epic Fantasy,Spanish,,1103,34.48,14.65,1,8,1,0,2008-11-17,
13,PROD00000010,9780756404734,The Wise Man's Fear,Patrick Rothfuss,HarperCollins,2011-04-09,Physical,Fantasy,Dark Fantasy,German,994,,37.01,9.29,1,160,1,0,2013-11-11,
14,PROD00000011,9781406321340,Clockwork Princess,Cassandra Clare,PENGUIN RANDOM HOUSE,2013-03-17,Physical,Fantasy,Epic Fantasy,French,567,,17.31,9.21,1,37,1,0,2016-09-07,
