click_key,campaign_id,channel_id,click_timestamp,click_id,impression_id,user_id,device_type,landing_page_url,cost
1,CAMP00000004,CH00000003,2022-06-05 17:17:26,CLK00000001,IMP00019591,USR00050349,Desktop,https://bookhoarder.com/home,1.6609
2,CAMP00000005,CH00000014,2022-07-10 18:06:34,clk00000002,IMP00021008,USR00116439,Desktop,https://bookhoarder.com/deals,2.3625
3,CAMP00000006,CH00000011,2022-05-18 00:23:30,CLK00000003,IMP00026346,USR00119221,Tablet,https://bookhoarder.com/bestsellers,0.4124
4,CAMP00000016,CH00000014,2021-05-06 16:16:51,CLK00000004,IMP00075250,USR00081503,Tablet,https://bookhoarder.com/home,1.1483
5,CAMP00000001,CH00000008,2023-01-15 05:37:04,CLK00000005,IMP00004558,USR00072675,Tablet,https://bookhoarder.com/bestsellers,1.3645
6,CAMP00000015,CH00000013,2021-04-19 00:48:41,CLK00000006,IMP00074535,USR00140931,Tablet,https://bookhoarder.com/deals,1.5447
7,CAMP00000008,CH00000011,2022-12-03 00:52:47,CLK00000007,IMP  00037589,USR00003734,Desktop,https://bookhoarder.com/home,0.3451
8,CAMP00000014,CH00000012,2021-12-04 12:07:33,CLK00000008,IMP00065251,USR00074931,Desktop,https://bookhoarder.com/deals,0.7891
9,CAMP00000017,CH00000010,2022-08-22 05:15:06,CLK00000009,IMP00082254,USR00003085,Desktop,https://bookhoarder.com/deals,1.0959
10,CAMP00000020,CH00000006,2022-08-10 16:39:01,CLK00000010,IMP00095835,USR00006649,Desktop,https://bookhoarder.com/bestsellers,2.3286
11,CAMP00000013,CH00000004,2021-03-29 15:48:38,CLK00000011,IMP00060180,USR00049077,Mobile,https://bookhoarder.com/deals,2.2814
12,CAMP00000017,CH00000005,2022-07-21 03:25:25,CLK00000012,IMP00083602,USR00020100,Desktop,https://bookhoarder.com/bestsellers,2.4844
13,CAMP00000016,CH00000007,2021-04-26 00:23:33,CLK00000013,IMP00075871,USR00023663,Tablet,https://bookhoarder.com/deals,0.9637
14,CAMP00000019,CH00000009,2021-03-25 11:52:53,CLK00000014,IMP00092365,USR00089679,Tablet,https://bookhoarder.com/home,0.22
15,CAMP00000002,CH00000015,2022-11-10 13:09:07,CLK00000015,IMP00007476,USR00024772,Mobile,https://bookhoarder.com/deals,1.9775
16,CAMP00000010,CH00000005,2022-09-22 01:10:48,CLK00000016,IMP00045738,USR00148473,Tablet,https://bookhoarder.com/bestsellers,0.5179
17,CAMP00000009,CH00000003,2021-10-10 03:28:38,CLK00000017,IMP00043086,USR00131942,Mobile,https://bookhoarder.com/deals,1.8275
18,CAMP00000005,CH00000015,2022-07-09 20:09:09,CLK00000018,IMP00021729,USR00021845,Desktop,https://bookhoarder.com/deals,0.625
19,CAMP00000015,CH00000002,2021-04-28 09:31:24,CLK00000019,IMP00074313,USR00009818,Mobile,https://bookhoarder.com/bestsellers,2.1024
20,CAMP00000014,CH00000002,2022-01-19 01:00:51,CLK00000020,IMP00066451,USR00132971,Desktop,https://bookhoarder.com/bestsellers,2.0064
