impression_key,campaign_id,channel_id,impression_timestamp,impression_id,user_id,device_type,placement,creative_id,cost
1,CAMP00000001,CH00000012,2023-02-03 07:12:07,IMP00000001,USR00098502,desktop,Feed,CRE0030,0.0406
2,CAMP00000001,CH00000004,2023-01-05 03:02:17,IMP00000002,USR00004334,desktop,Story,CRE0010,0.0406
3,CAMP00000001,CH00000006,2023-02-16 20:32:33,IMP00000003,USR00005257,Mobile,Story,CRE0031,0.0341
4,CAMP00000001,CH00000007,2023-02-10 21:30:33,IMP00000004,USR00068648,Mobile,Sidebar,CRE0020,0.0051
5,CAMP00000001,CH00000008,2023-01-20 10:13:35,IMP00000005,USR00083417,Desktop,Story,CRE0039,0.0477
6,CAMP00000001,CH00000013,2023-01-08 22:52:17,IMP00000006,USR00106054,Tablet,  Top Banner,CRE0037,0.0421
7,CAMP00000001,CH00000011,2023-01-28 22:48:26,IMP00000007,USR00130243,Tablet,Story,CRE0041,0.0279
8,CAMP00000001,CH00000004,2023-02-03 00:16:15,IMP00000008,USR00069973,Mobile,Sidebar,CRE0007,0.0044
9,CAMP00000001,CH00000005,2023-02-09 17:20:47,IMP00000009,USR00072661,Tablet,Feed,CRE0016,0.0381
10,CAMP00000001,CH00000015,2023-01-15 11:34:30,IMP00000010,USR00028019,Desktop,top banner,CRE0022,0.0424
11,CAMP00000001,CH00000014,2023-02-04 12:01:25,IMP00000011,USR00051937,Desktop,Top Banner,CRE0022,0.0437
12,CAMP00000001,CH00000015,2023-01-28 03:17:14,IMP00000012,USR00039850,Desktop,Story,CRE0043,0.0367
13,CAMP00000001,CH00000003,2022-12-31 03:34:26,IMP00000013,USR00000094,Tablet,Story,CRE0029,
14,CAMP00000001,CH00000014,2023-01-01 19:48:29,IMP00000014,USR00128172,Desktop  ,  sidebar,CRE0036,
15,CAMP00000001,CH00000014,2023-02-06 11:59:37,IMP00000015,USR00111318,Mobile,Sidebar,CRE0045,0.0235
16,CAMP00000001,CH00000003,2023-02-17 13:30:38,IMP00000016,USR00032224,Tablet  ,Top Banner,CRE0006,0.0109
17,CAMP00000001,CH00000006,2023-02-17 09:04:25,IMP00000017,USR00107307,Mobile,  Top Banner,CRE0039,0.0214
18,CAMP00000001,CH00000015,2023-01-30 06:14:04,IMP00000018,USR00054860,Mobile,Top Banner,CRE0035,0.0378
19,CAMP00000001,CH00000004,2023-02-03 09:26:21,IMP00000019,USR00040734,Mobile,Top Banner,CRE0030,0.0439
20,CAMP00000001,CH00000010,2022-12-26 06:26:14,IMP00000020,USR00053588,MOBILE,Story,CRE0020,0.0261
21,CAMP00000001,CH00000014,2023-01-25 12:23:37,IMP00000021,USR00004071,Mobile,SIDEBAR,CRE0032,0.0225
22,CAMP00000001,CH00000011,2023-02-08 11:17:59,IMP00000022,USR00030576,Tablet,Story,CRE0027,0.0489
23,CAMP00000001,CH00000009,2022-12-30 05:23:41,IMP00000023,USR00009822,Tablet,Top Banner,CRE0036,0.0062
24,CAMP00000001,CH00000010,2023-02-11 03:33:25,IMP00000024,USR00083484,Desktop,Sidebar,CRE0022,0.0166
25,CAMP00000001,CH00000014,2023-02-09 23:10:37,IMP00000025,USR00036456,Tablet,Feed,CRE0032,0.032
26,CAMP00000001,CH00000015,2023-01-06 15:39:20,IMP00000026,USR00115153,Tablet,Sidebar,CRE0036,0.0238
27,CAMP00000001,CH00000002,2023-02-07 19:47:02,IMP00000027,USR00145830,Mobile,Feed,CRE0038,0.0438
28,CAMP00000001,CH00000003,2022-12-27 23:57:16,IMP00000028,USR00010103,Tablet,Top Banner,CRE0020,0.0082
29,CAMP00000001,CH00000011,2023-02-04 10:16:50,IMP00000029,USR00029527,Mobile,Feed,CRE0023,0.0331
30,CAMP00000001,CH00000005,2023-01-27 07:17:48,IMP00000030,USR00103578,Desktop,Feed,CRE0012,0.0305
31,CAMP00000001,CH00000002,2023-01-03 00:02:27,IMP00000031,USR00140924,MOBILE,story,CRE0022,0.0239
32,CAMP00000001,CH00000008,2022-12-24 16:58:53,IMP00000032,USR00038614,Mobile,Story,CRE0014,0.0337
33,CAMP00000001,CH00000015,2023-01-07 18:32:05,IMP00000033,USR00067689,Tablet,Feed,CRE0046,0.0435
34,CAMP00000001,CH00000007,2023-02-08 03:07:20,IMP00000034,USR00007582,Mobile,Story,CRE0026,0.0092
35,CAMP00000001,CH00000009,2023-02-06 15:44:53,IMP00000035,USR00126421,Mobile,TOP BANNER,CRE0028,0.0128
36,CAMP00000001,CH00000003,2023-02-05 02:23:51,IMP00000036,USR00038152,Desktop,Feed,CRE0021,
37,CAMP00000001,CH00000009,2022-12-22 10:43:39,IMP00000037,USR00050147,Mobile,Top Banner,CRE0004,0.0459
38,CAMP00000001,CH00000002,2023-01-21 14:42:45,IMP00000038,USR00077395,Desktop,Top Banner,CRE0015,0.0404
