spend_key,campaign_id,channel_id,spend_date,amount_spent,spend_category,notes
1,CAMP00000001,CH00000011,2021-05-13,217.48,Creative,
2,CAMP00000001,CH00000009,2021-05-13,199.62,Creative,
3,CAMP  00000001,CH00000004,2021-05-13,208.44,Agency,
4,CAMP00000001,CH00000008,2021-05-14,188.41,Media,
5,CAMP00000001,CH00000009,2021-05-14,162.83,Agency,
6,CAMP  00000001,CH00000007,2021-05-15,174.26,Agency,
7,CAMP00000001,CH00000012,2021-05-16,190.58,Agency,
8,CAMP00000001,CH00000001,2021-05-16,146.25,Creative,
9,CAMP00000001,CH00000001,2021-05-17,206.2,Media,
10,CAMP00000001,ch00000008,2021-05-18,130.73,Creative,
11,CAMP00000001,CH00000007,2021-05-19,207.59,Platform,
12,CAMP00000001,CH00000007,2021-05-19,176.39,Agency,
13,CAMP00000001,CH00000003,2021-05-20,160.81,Platform,
14,CAMP  00000001,CH00000010,2021-05-21,128.75,Platform,
15,CAMP00000001,CH00000015,2021-05-21,134.55,Platform,
16,CAMP  00000001,CH  00000002,2021-05-21,150.13,Creative,
17,CAMP00000001,CH  00000008,2021-05-22,143.44,Creative,
18,CAMP00000001,CH00000012,2021-05-22,172.35,Creative,
19,CAMP00000001,CH00000013,2021-05-22,201.73,Media,
20,CAMP  00000001,CH00000003,2021-05-23,199.83,Platform,
21,CAMP00000001,CH00000015,2021-05-23,195.08,Platform,
22,CAMP00000001,CH00000009,2021-05-24,192.01,Agency,
23,CAMP00000001,CH00000012,2021-05-25,211.25,Creative,
24,CAMP00000001,CH00000015,2021-05-26,126.33,Platform,
25,CAMP  00000001,CH  00000002,2021-05-26,207.14,Creative,
26,CAMP00000001,CH00000008,2021-05-27,195.3,Creative,
27,CAMP  00000001,CH00000013,2021-05-28,160.74,Media,
28,CAMP00000001,CH00000014,2021-05-29,169.76,Platform,
29,CAMP  00000001,CH00000014,2021-05-29,209.31,Agency,
30,CAMP00000001,CH00000014,2021-05-30,168.93,Platform,
31,CAMP00000001,CH  00000012,2021-05-30,159.11,Agency,
32,camp00000001,CH00000008,2021-05-30,145.1,Agency,
33,CAMP00000001,CH00000007,2021-05-31,118.57,Media,
34,CAMP00000001,CH00000003,2021-06-01,156.49,Media,
35,CAMP00000001,CH00000015,2021-06-01,148.95,Platform,
36,CAMP00000001,CH00000008,2021-06-02,180.27,Creative,
37,CAMP00000001,CH00000012,2021-06-02,200.03,Agency,
38,CAMP00000001,CH00000010,2021-06-03,127.94,Creative,
39,CAMP00000001,CH00000013,2021-06-03,194.47,Creative,
40,CAMP00000001,ch00000012,2021-06-04,192.13,Creative,
41,CAMP  00000001,CH00000013,2021-06-05,174.77,Agency,
42,CAMP00000001,CH00000010,2021-06-06,211.8,Creative,
43,CAMP00000001,CH00000014,2021-06-06,123.27,Creative,
44,CAMP00000001,CH  00000015,2021-06-07,127.47,Agency,
45,CAMP00000001,CH00000002,2021-06-07,155.03,Platform,
46,CAMP00000001,CH00000006,2021-06-08,184.59,Media,
47,CAMP00000001,CH00000002,2021-06-09,197.88,Creative,
48,CAMP00000001,CH00000004,2021-06-09,144.35,,
49,CAMP00000001,CH00000014,2021-06-09,167.0,Agency,
50,CAMP00000001,ch00000014,2021-06-10,184.41,Platform,
51,CAMP00000001,CH00000013,2021-06-11,175.46,Creative,
52,CAMP00000001,CH00000011,2021-06-12,162.11,Agency,
53,CAMP00000001,CH00000011,2021-06-12,129.23,Agency,
54,CAMP00000001,CH00000015,2021-06-12,211.55,Platform,
55,CAMP00000001,CH00000002,2021-06-13,187.27,Media,
56,CAMP00000001,CH00000002,2021-06-14,132.68,Media,
57,CAMP00000001,CH00000010,2021-06-14,119.92,Platform,
58,CAMP00000001,CH00000014,2021-06-15,164.56,Agency,
59,CAMP00000001,CH00000009,2021-06-15,161.8,Media,
60,CAMP00000001,CH00000007,2021-06-15,188.23,Platform,
61,CAMP00000001,CH00000015,2021-06-16,186.25,Platform,
62,CAMP00000001,CH00000008,2021-06-16,127.93,Creative,
63,CAMP00000001,CH00000013,2021-06-16,152.11,Media,
64,CAMP00000001,CH00000002,2021-06-17,158.04,Creative,
65,CAMP00000001,CH00000001,2021-06-17,183.2,Creative,
66,CAMP00000001,CH00000008,2021-06-17,145.36,Platform,
67,CAMP00000001,CH00000004,2021-06-18,126.57,Agency,
68,CAMP00000001,CH00000010,2021-06-19,122.69,Creative,
69,CAMP00000001,CH00000009,2021-06-20,146.88,Platform,
70,CAMP00000001,CH00000015,2021-06-20,164.71,Creative,
71,CAMP00000001,CH00000001,2021-06-20,216.28,Media,
72,CAMP00000001,CH00000001,2021-06-21,169.33,Creative,
73,CAMP00000001,CH00000006,2021-06-22,145.39,Media,
74,CAMP00000001,ch00000001,2021-06-22,141.18,Media,
75,CAMP00000001,CH00000014,2021-06-22,161.83,Media,
76,CAMP00000002,CH00000005,2021-08-23,177.3,Platform,
77,CAMP00000002,CH00000005,2021-08-24,178.91,Creative,
78,CAMP00000002,CH  00000006,2021-08-24,246.86,Platform,
79,CAMP00000002,ch00000001,2021-08-24,163.92,Platform,
80,CAMP00000002,CH00000004,2021-08-25,188.22,Platform,
81,CAMP00000002,CH00000011,2021-08-25,180.83,Platform,
82,CAMP00000002,CH00000013,2021-08-26,224.02,Media,
83,CAMP00000002,CH00000007,2021-08-26,253.85,Agency,
84,CAMP00000002,CH00000002,2021-08-27,225.09,Media,
85,CAMP00000002,CH00000007,2021-08-27,187.58,Platform,
86,CAMP00000002,CH  00000001,2021-08-27,202.33,Platform,
87,CAMP00000002,CH00000006,2021-08-28,149.82,Media,
88,CAMP00000002,CH00000012,2021-08-28,183.11,Media,
89,CAMP00000002,CH00000010,2021-08-29,250.89,Creative,
90,CAMP00000002,CH00000006,2021-08-29,226.57,Agency,
91,CAMP00000002,CH00000015,2021-08-30,237.72,Media,
92,CAMP00000002,CH00000015,2021-08-30,164.29,Creative,
93,camp00000002,CH00000009,2021-08-30,192.93,Media,
94,CAMP00000002,CH00000007,2021-08-31,208.59,Creative,
95,CAMP00000002,CH00000011,2021-08-31,231.34,Platform,
96,CAMP00000002,CH  00000008,2021-09-01,199.85,Creative,
97,CAMP00000002,CH00000010,2021-09-02,151.9,Media,
98,CAMP00000002,CH00000009,2021-09-02,254.09,Creative,
99,CAMP00000002,CH00000005,2021-09-03,236.27,Media,
100,CAMP00000002,CH00000009,2021-09-03,233.11,Media,
101,CAMP  00000002,CH00000012,2021-09-03,198.72,Creative,
102,CAMP00000002,CH00000003,2021-09-04,185.65,Media,
103,CAMP00000002,CH00000013,2021-09-05,181.98,Media,
104,CAMP00000002,CH00000001,2021-09-05,214.96,Agency,
105,CAMP00000002,CH00000002,2021-09-05,169.89,Creative,
106,camp00000002,CH00000006,2021-09-06,241.82,Platform,
107,CAMP00000002,CH00000001,2021-09-06,172.08,,
108,CAMP00000002,CH00000006,2021-09-06,172.75,Platform,
109,CAMP00000002,CH00000003,2021-09-07,241.78,Agency,
110,CAMP00000002,CH00000007,2021-09-07,200.78,Media,
111,CAMP00000002,CH00000003,2021-09-08,232.75,Creative,
112,CAMP00000002,CH00000012,2021-09-09,199.17,Creative,
113,CAMP00000002,CH00000006,2021-09-10,193.97,Agency,
114,CAMP00000002,CH00000008,2021-09-10,242.18,Platform,
115,CAMP00000002,CH00000005,2021-09-11,165.91,Platform,
116,CAMP00000002,CH00000007,2021-09-12,233.61,Creative,
117,CAMP00000002,CH  00000009,2021-09-12,224.89,Media,
118,CAMP00000002,CH00000004,2021-09-12,221.93,Agency,
119,CAMP00000002,CH00000006,2021-09-13,257.35,Media,
120,CAMP00000002,CH00000015,2021-09-13,199.51,Creative,
121,CAMP  00000002,CH00000011,2021-09-13,240.81,Creative,
122,CAMP00000002,CH00000010,2021-09-14,149.87,Platform,
123,CAMP00000002,CH00000008,2021-09-15,173.49,Media,
124,CAMP00000002,CH00000001,2021-09-15,229.54,Creative,
125,CAMP00000002,CH00000009,2021-09-15,149.57,Media,
126,CAMP00000002,CH00000004,2021-09-16,236.18,Creative,
127,CAMP00000002,CH00000012,2021-09-17,244.61,Agency,
128,CAMP00000002,CH00000003,2021-09-17,236.54,Agency,
129,CAMP00000002,CH00000010,2021-09-17,234.76,Creative,
130,CAMP00000002,CH00000010,2021-09-18,213.29,Media,
