campaign_key,campaign_id,campaign_name,campaign_type,campaign_objective,campaign_manager,campaign_start_date,campaign_end_date,campaign_status,target_audience,budget_allocated,campaign_description,promotional_offer,promo_code,creative_version
1,CAMP00000001,Display Showcase: Spring Sale,Display,Awareness,Sarah Mitchell,2021-05-13,2021-06-22,Completed,New Customers,13844.98,Marketing campaign focused on spring sale,,,C
2,CAMP00000002,Creator Collab: Summer Reading,Influencer,Awareness,Sarah Mitchell,2021-08-23,2021-11-20,Completed,High-Value,36172.03,Marketing campaign focused on summer reading,,,B
3,CAMP00000003,Bookworm Bulletin: Summer Sale,Email,Awareness,Sarah Mitchell,2022-07-06,2022-08-07,Completed,High-Value,37197.34,Marketing campaign focused on summer sale,,,A
4,CAMP00000004,Affiliate Attribution: Winter Reading,Affiliate,Consideration,Sarah Mitchell,2021-12-10,2022-02-11,Completed,Repeat Customers,18185.1,Marketing campaign focused on winter reading,,,C
5,CAMP00000005,Inbox Impact: Summer Reading,Email,Awareness,Sarah Mitchell,2022-07-13,2022-07-30,Completed,All Customers,45049.55,Marketing campaign focused on summer reading,,,C
6,CAMP00000006,Page Turner Newsletter: Spring Sale,Email,Retention,Sarah Mitchell,2021-03-18,2021-05-04,Completed,New Customers,48888.74,Marketing campaign focused on spring sale,10% OFF,SAVE10,A
7,CAMP00000007,BookTok: Summer Reading,Social,Awareness,Sarah Mitchell,2021-06-25,2021-09-05,Completed,All Customers,8502.6,Marketing campaign focused on summer reading,,,A
8,CAMP00000008,Partner Network: Summer Reading,Affiliate,Awareness,Sarah Mitchell,2022-08-28,2022-09-08,Completed,All Customers,49815.31,Marketing campaign focused on summer reading,,,C
9,CAMP00000009,Affiliate Attribution: Spring Collection,Affiliate,Consideration,Sarah Mitchell,2022-05-19,2022-05-27,Completed,All Customers,33905.93,Marketing campaign focused on spring collection,,,B
10,CAMP00000010,Inbox Impact: Gift Guide,Email,Retention,Sarah Mitchell,2021-02-20,2021-03-22,Completed,New Customers,5934.37,Marketing campaign focused on gift guide,15% OFF,GIFT15,A
11,CAMP00000011,Influencer Funnel: Summer Sale,Influencer,Conversion,Sarah Mitchell,2022-06-12,2022-09-06,Completed,High-Value,20148.17,Marketing campaign focused on summer sale,,,A
12,CAMP00000012,Search Domination: New Year,Search,Retention,Sarah Mitchell,2022-12-08,2023-01-09,Completed,New Customers,10833.59,Marketing campaign focused on new year,,,C
13,CAMP00000013,Partner Network: Back to School,Affiliate,Retention,Sarah Mitchell,2021-10-09,2021-12-27,Completed,Repeat Customers,19810.28,Marketing campaign focused on back to school,,,C
14,CAMP00000014,Affiliate Attribution: Back to School,Affiliate,Retention,Sarah Mitchell,2022-10-10,2022-10-22,Completed,Repeat Customers,32818.15,Marketing campaign focused on back to school,,,B
15,CAMP00000015,Bookworm Bulletin: Gift Guide,Email,Awareness,Sarah Mitchell,2021-12-13,2022-02-13,Completed,High-Value,21282.61,Marketing campaign focused on gift guide,,,A
16,CAMP00000016,Visual Reads: Winter Reading,Display,Consideration,Sarah Mitchell,2022-02-05,2022-03-24,Completed,New Customers,19713.15,Marketing campaign focused on winter reading,,,C
17,CAMP00000017,Inbox Impact: Halloween Special,Email,Conversion,Sarah Mitchell,2022-10-26,2023-01-09,Completed,High-Value,12800.73,Marketing campaign focused on halloween special,10% OFF,SAVE10,A
18,CAMP00000018,Banner Blitz: Spring Sale,Display,Awareness,Sarah Mitchell,2022-03-25,2022-04-06,Completed,High-Value,10852.51,Marketing campaign focused on spring sale,,,C
19,CAMP00000019,Banner Blitz: New Year,Display,Awareness,Sarah Mitchell,2021-01-27,2021-02-27,Completed,Repeat Customers,44621.65,Marketing campaign focused on new year,,,A
20,CAMP00000020,Display Showcase: Winter Reading,Display,Retention,Sarah Mitchell,2022-02-26,2022-05-22,Completed,New Customers,14214.02,Marketing campaign focused on winter reading,,,B
21,CAMP00000021,Search Domination: Halloween Special,Search,Awareness,Sarah Mitchell,2021-09-01,2021-09-19,Completed,Repeat Customers,43528.28,Marketing campaign focused on halloween special,,,A
22,CAMP00000022,Partner Network: Summer Sale,Affiliate,Retention,Sarah Mitchell,2022-08-03,2022-10-08,Completed,All Customers,18696.18,Marketing campaign focused on summer sale,,,B
23,CAMP00000023,Influencer Funnel: Autumn Favorites,Influencer,Conversion,Sarah Mitchell,2022-09-18,2022-10-30,Completed,All Customers,13171.26,Marketing campaign focused on autumn favorites,,,A
24,CAMP00000024,BookTok: New Year,Social,Awareness,Sarah Mitchell,2022-01-30,2022-03-29,Completed,High-Value,32101.49,Marketing campaign focused on new year,,,A
25,CAMP00000025,Affiliate Attribution: Pre-Holiday Sale,Affiliate,Conversion,Sarah Mitchell,2021-11-06,2021-12-26,Completed,Repeat Customers,43129.97,Marketing campaign focused on pre-holiday sale,,,A
26,CAMP00000026,Inbox Impact: Spring Collection,Email,Awareness,Sarah Mitchell,2021-04-08,2021-05-06,Completed,Repeat Customers,11396.02,Marketing campaign focused on spring collection,,,B
27,CAMP00000027,Search Domination: Spring Sale,Search,Retention,Sarah Mitchell,2022-04-05,2022-04-13,Completed,New Customers,7817.76,Marketing campaign focused on spring sale,,,C
28,CAMP00000028,Banner Blitz: Summer Reading,Display,Consideration,Sarah Mitchell,2022-08-29,2022-11-27,Completed,High-Value,41112.08,Marketing campaign focused on summer reading,,,C
29,CAMP00000029,BookTok: Holiday Extravaganza,Social,Awareness,Sarah Mitchell,2021-12-16,2022-01-25,Completed,New Customers,20798.21,Marketing campaign focused on holiday extravaganza,,,B
30,CAMP00000030,Creator Collab: Holiday Extravaganza,Influencer,Conversion,Sarah Mitchell,2022-01-13,2022-04-10,Completed,All Customers,32161.69,Marketing campaign focused on holiday extravaganza,,,A
31,CAMP00000031,Banner Blitz: Holiday Extravaganza,Display,Consideration,Sarah Mitchell,2021-02-24,2021-04-24,Completed,High-Value,30251.19,Marketing campaign focused on holiday extravaganza,Free Shipping,HOLIDAYSHIP,C
32,CAMP00000032,Inbox Impact: Autumn Favorites,Email,Consideration,Sarah Mitchell,2022-09-04,2022-09-15,Completed,New Customers,14821.8,Marketing campaign focused on autumn favorites,,,C
