order_key,order_id,customer_id,order_timestamp,order_status,order_channel,store_id,subtotal,discount_amount,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,shipping_address_line1,shipping_address_line2,shipping_city,shipping_postal_code,shipping_country,promo_code,discount_percent,first_purchase_flag,gift_order_flag
1,ORD00000001,CUST00012404,2023-05-25 13:01:37,Completed,Online,,168.09,0.0,11.26,13.45,192.79999999999998,Credit Card,Express,,,,,,,0,0,0
2,ORD00000002,CUST00027526,2022-06-16 15:37:00,Completed,Online,,,0.0,3.59,7.91,110.39,Credit Card,Standard,,,,,,,0,0,0
3,ORD00000003,CUST00028748,2024-11-04 02:08:17,Completed,Online,,36.36,0.0,0.81,2.91,40.08,Credit Card,Express,,,,,,,0,0,0
4,ORD00000004,CUST00012896,2024-05-25 15:58:15,Completed,Online,,33.66,0.0,13.83,2.69,50.17999999999999,Debit Card,Standard,,,,,,,0,0,0
5,ORD00000005,CUST00030487,2024-11-13 09:02:31,Completed,Online,,72.24,0.0,4.06,5.78,82.08,DEBIT CARD,Standard,,,,,,,0,0,1
6,ORD00000006,CUST00035590,2024-06-25 16:57:29,Completed  ,Online,,120.5,0.0,10.03,9.64,140.17000000000002,PayPal,Standard,,,,,,,0,0,0
7,ORD00000007,CUST00010468,2024-03-08 16:42:18,Completed,Online,,67.09,0.0,7.58,5.37,80.04,Credit Card,Express,,,,,,,0,0,0
8,ORD00000008,CUST00046688,2024-09-12 00:23:01,  Completed,Online,,148.59,0.0,1.9,11.89,162.38,Credit Card,Express,,,,,,,0,0,0
9,ORD00000009,CUST00002110,2022-04-01 05:28:25,Completed,Online,,188.5,0.0,3.82,15.08,207.4,Debit Card,STANDARD,,,,,,,0,0,1
10,ORD00000010,CUST00047678,2023-12-10 12:22:31,Completed,Online,,137.54,0.0,0.08,11.0,148.62,PayPal,Express,,,,,,,0,0,0
11,ORD00000011,CUST00028753,2024-10-11 03:50:13,Completed,Online,,191.73,0.0,0.93,15.34,208.0,Debit Card,EXPRESS,,,,,,,0,0,0
12,ORD00000012,CUST00016968,2024-07-23 08:43:23,Completed,Online,,50.44,0.0,13.43,4.04,67.91,PayPal,Express,,,,,,,0,0,0
13,ORD00000013,CUST00042697,2022-10-26 08:33:22,Completed,Online,,95.77,0.0,3.44,7.66,106.86999999999999,PayPal,Standard,,,,,,,0,0,0
14,ORD00000014,CUST00017155,2023-07-05 04:56:07,Completed,Online,,26.89,0.0,10.6,2.15,39.64,Credit Card,Standard  ,,,,,,,0,0,0
15,ORD00000015,CUST00006614,2024-05-06 22:20:31,Completed,Online  ,,51.29,0.0,13.01,4.1,68.39999999999999,Credit Card,Express,,,,,,,0,0,0
16,ORD00000016,CUST00002814,2022-07-30 02:51:32,Completed,Online,,46.54,0.0,14.58,3.72,64.84,Debit Card,Express,,,,,,,0,0,0
17,ORD00000017,CUST00034451,2023-05-17 21:53:06,Completed,Online,,87.43,0.0,6.41,6.99,100.83,PayPal,Standard,,,,,,,0,0,0
