product_key,product_id,isbn,title,author,publisher,publication_date,product_type,genre,sub_genre,language,page_count,duration_minutes,price,cost,in_stock,stock_quantity,bestseller_flag,new_release_flag,effective_date,expiry_date
1,PROD00000001,9780765326362,Words of Radiance,Brandon Sanderson  ,  HarperCollins,2014-05-09,E-book,Fantasy,epic fantasy,German,1087,,15.93,13.34,1,460,1,0,2014-05-30,
2,PROD00000002,9780575102484,The Way of Kings Part 2,Brandon Sanderson  ,HarperCollins,2010-06-26,Physical,Fantasy,Epic Fantasy,English,530,,29.52,5.17,1,128,1,0,2010-08-23,
3,PROD00000003,9780575093324,  Words of Radiance Part 2,Brandon Sanderson,Macmillan,2014-12-13,Physical,Fantasy,Urban Fantasy,German,564,,30.28,13.86,1,211,1,0,2018-07-01,
4,PROD00000004,,A Court of Mist and Fury,Sarah J. Maas,HarperCollins,2016-03-20,E-book,Fantasy,,Spanish,,,17.18,10.58,1,180,1,0,2020-04-18,2019-09-17
5,PROD00000004,,A Court of Mist and Fury,Sarah J. Maas,Harpercollins,2016-03-20,E-book,Fantasy,Epic Fantasy,Spanish,626,,14.6,8.99,1,453,1,0,2020-02-06,
6,PROD00000005,9781632150783,Saga: Book One,Brian K. Vaughan,Simon & Schuster,2014-04-16,Physical,Fiction,contemporary fiction  ,  German,504,,47.5,9.51,1,149,1,0,2016-08-24,2016-04-08
7,PROD00000005,9781632150783,Saga: Book One,Brian K. Vaughan,Simon & Schuster,2014-04-16,Physical,Fiction,Contemporary Fiction,German,504,,42.22,8.46,1,8,1,0,2016-06-10,2015-05-12
8,PROD00000005,9781632150783,Saga: Book One,Brian K. Vaughan,Simon & Schuster,2014-04-16,  Physical,Fiction,Contemporary Fiction,German,504,,38.0,7.61,1,41,1,0,2016-03-27,
9,PROD00000006,,Neverseen,Shannon Messenger,Simon & Schuster,2015-04-11,Physical,Fantasy,Dark Fantasy,French,672,,26.32,10.4,1,252,1,0,2018-07-10,
10,PROD00000007,  9780765326379,Oathbringer,Brandon Sanderson,Penguin Random House,2017-03-11,Physical,Fantasy,Dark Fantasy  ,Spanish,  1243,,31.58,12.21,1,175,1,0,2017-08-19,
11,PROD00000008,9780545010221,Harry Potter and the Deathly Hallows,J.K. Rowling,Hachette,2007-01-20,PHYSICAL,Fantasy,Urban Fantasy,Spanish,759,,29.72,7.86,1,2,1,0,2007-03-20,
12,PROD00000009,9780756404079,The Name of the Wind,Patrick Rothfuss,Penguin Random House,2007-06-19,Physical,Fantasy,Urban Fantasy,German,662,,25.66,9.87,1,131,1,0,2007-08-03,
13,PROD00000010,  9780756404734,The Wise Man's Fear,Patrick Rothfuss,HarperCollins,,Audiobook,Fantasy,Epic Fantasy,French,,1656,33.92,4.21,1,150,1,0,2012-12-11,2012-04-20
14,PROD00000010,9780756404734,The Wise Man's Fear,Patrick Rothfuss,HARPERCOLLINS,,  Audiobook,Fantasy,Epic Fantasy,,,1656,30.16,3.74,,204,1,0,2012-11-18,2011-11-05
15,PROD00000010,9780756404734,The Wise Man's Fear,Patrick Rothfuss,HarperCollins,2011-06-12,Audiobook,Fantasy,Epic Fantasy,French,,1656,27.14,3.37,1,471,1,0,2012-08-22,
16,PROD00000011,9781406321340,Clockwork Princess,CASSANDRA CLARE,Simon & Schuster,2013-01-06,E-book,Fantasy,Dark Fantasy,English,  567,,22.36,3.04,1,472,1,0,2016-02-12,
17,PROD00000012,9780765326355,The Way of Kings,Brandon Sanderson,Macmillan,2010-01-24,Physical,Fantasy,Urban Fantasy,French,1007,,15.96,6.47,1,104,1,0,2011-10-01,
18,PROD00000013,9781619636040,Queen of Shadows,Sarah J. Maas,HarperCollins,2015-05-27,Physical  ,Fantasy,Urban Fantasy,German,648,,38.5,13.48,1,472,1,0,2016-12-16,
19,PROD00000014,9781619636071,Empire of Storms,Sarah J. Maas,HACHETTE,2016-12-17,Physical,Fantasy,Dark Fantasy,Spanish,693,,33.12,13.59,1,445,1,0,2020-07-06,
20,PROD00000015,9780007119554,A Storm Of Swords: Part 2 Blood And Gold,George R.R. Martin,macmillan,2000-04-05,Physical,Fantasy,Dark Fantasy,German,639,,17.74,5.52,1,397,1,0,2004-01-14,
21,PROD00000016,,Crooked Kingdom,Leigh Bardugo  ,Hachette,2016-03-28,E-book,Fantasy,Urban Fantasy,English,536,,38.49,11.96,1,136,1,0,2018-09-09,2017-11-28
22,PROD00000016,,Crooked Kingdom,Leigh Bardugo,Hachette,2016-03-28,E-book,Fantasy,Urban Fantasy,English,536,,32.72,10.17,1,304,1,0,2018-04-12,
23,PROD00000017,9781607066927,Saga Volume Two,brian k. vaughan,Penguin Random House,2013-07-16,Physical,FICTION,Historical Fiction,German,144,,12.97,5.22,1,5,1,0,2014-12-05,
24,PROD00000018,9780062498533,The Hate U Give,Angie Thomas,Macmillan,2017-12-09,Physical,Fiction,Historical Fiction,German,444,,12.71,4.6,1,251,1,0,2019-09-19,
25,PROD00000019,9781416997856,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,Cassandra Clare,Hachette,2009-08-20,Audiobook,Fiction,historical fiction,English,,420,33.34,3.27,1,182,1,0,2013-04-10,
26,PROD00000020,  9780842377508,A Voice in the Wind,Francine Rivers,Hachette,1993-09-17,Physical,Fiction,Historical Fiction,German,520,,34.37,12.36,1,431,1,0,1997-02-08,
27,PROD00000021,9780451464392,Skin Game,Jim Butcher,,2014-04-22,Physical,Fantasy,Urban Fantasy,Spanish,454,,45.01,7.85,1,63,1,0,2018-08-15,2017-08-21
28,PROD00000021,9780451464392,Skin Game,JIM BUTCHER,HarperCollins,2014-04-22,Physical,Fantasy,Urban Fantasy,Spanish,454,,38.26,6.67,1,125,1,0,2018-04-26,
29,PROD00000022,9781607069317,Saga Volume Three,Brian K. Vaughan,Hachette,2014-09-23,Physical,Fiction,Contemporary Fiction,German,144,,22.97,14.19,1,13,1,0,2014-09-25,
30,PROD00000023,9780312362157,Acheron,Sherrilyn Kenyon,HarperCollins,2008-07-01,Physical,Fantasy,dark fantasy,Spanish,728,,13.85,4.6,1,39,1,0,2008-11-01,
31,PROD00000024,9781563892042,The Sandman: The Kindly Ones,Neil Gaiman,Macmillan,1996-11-12,Audiobook,Fiction,Literary Fiction,English,,1285,32.4,8.29,1,363,1,0,1997-07-09,
32,PROD00000025,9780812994520,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,HarperCollins,2014-10-06,E-book,Fiction,Historical Fiction,Spanish,336,,18.64,5.53,1,340,1,0,2016-11-01,
33,PROD00000026,9780842313070,An Echo in the Darkness,Francine Rivers,Hachette,1994-01-25,Audiobook,FICTION  ,Literary Fiction,Spanish,,768,13.48,3.9,1,126,1,0,1996-10-22,
34,PROD00000027,9780553499162,Gemina,Amie Kaufman  ,Macmillan,2016-12-17,audiobook,Fiction,Contemporary Fiction,English  ,,1098,12.2,6.82,,219,1,0,2019-07-19,2018-05-11
